,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
2160,"['1,74']",1.74,"['20,0']",32.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"8,70",8.7
2161,"['4,00']",4.0,"['20,0']",48.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"20,00",20.0
2162,"['3,23']",3.23,"['34,0']",29.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"9,50",9.5
2163,"['4,00']",4.0,"['20,0']",50.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"20,00",20.0
2164,"['0,94']",0.94,"['8,0']",22.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],1.0,"11,75",11.8
2165,"['0,13']",0.13,"['1,0']",17.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"13,00",13.6
2166,"['1,27']",1.27,"['9,0']",18.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],1.0,"14,11",14.1
2167,"['1,68']",1.68,"['20,0']",48.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"8,40",8.4
2168,"['3,48']",3.48,"['20,0']",41.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"17,40",17.4
2169,"['0,86']",0.86,"['7,0']",30.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],1.0,"12,29",12.3
2170,[],,[],,[],,,,[],,,
2171,"['1,72']",1.72,"['20,0']",33.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"8,60",8.6
2172,"['3,74']",3.74,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"18,70",18.7
2173,"['0,35']",0.35,"['2,0']",21.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],1.0,"17,50",17.5
2174,"['3,92']",3.92,"['36,0']",22.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],1.0,"10,89",10.9
2175,"['3,74']",3.74,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"18,70",18.7
2176,"['1,48']",1.48,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],0.0,"7,40",7.4
2177,"['3,62']",3.62,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"18,10",18.1
2178,"['3,54']",3.54,"['30,0']",33.0,['Normal'],0.0,1.0,0.0,['Winter tires'],1.0,"11,80",11.8
2179,"['14,06']",14.06,"['95,0']",53.0,['Normal'],1.0,0.0,0.0,['Winter tires'],1.0,"14,80",14.8
2180,"['2,80']",2.8,"['20,0']",32.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"14,00",14.0
2181,"['3,46']",3.46,"['35,0']",28.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"9,89",9.9
2182,"['0,14']",0.14,"['1,0']",15.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"14,00",14.0
2183,"['3,82']",3.82,"['20,0']",47.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"19,10",19.1
2184,"['2,43']",2.43,"['23,0']",40.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"10,57",10.6
2185,"['4,04']",4.04,"['20,0']",41.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"20,20",20.2
2186,"['2,14']",2.14,"['20,0']",30.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"10,70",10.7
2187,"['3,78']",3.78,"['20,0']",40.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"18,90",18.9
2188,"['0,35']",0.35,"['2,0']",27.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"17,50",17.8
2189,"['2,24']",2.24,"['22,0']",43.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"10,18",10.2
2190,"['3,86']",3.86,"['20,0']",42.0,['Normal'],0.0,1.0,0.0,['Winter tires'],1.0,"19,30",19.3
2191,"['0,14']",0.14,"['1,0']",14.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"14,00",14.3
2192,"['2,22']",2.22,"['21,0']",36.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"10,57",10.6
2193,"['3,82']",3.82,"['20,0']",46.0,['Normal'],1.0,1.0,1.0,['Summer tires'],1.0,"19,10",19.1
2194,"['2,20']",2.2,"['20,0']",32.0,['Normal'],1.0,1.0,1.0,['Summer tires'],1.0,"11,00",11.0
